FOTOTREE NAME                                      | LATITUDE     | LONGITUDE    | LOCATION NAME
Bamsayota Run Fest 2025                            | -7.9425774   | 110.30049    | 
Banaran Trail Run 2025                             | -7.2538986   | 110.441864   | 
BANDAR UDARA NUSAWIRU                              | -7.722238    | 108.48911    | 
Bandara Dhoho Fun Run                              | -7.7594423   | 111.950645   | 
Bandung                                            | -7.1340704   | 107.62153    | 
Bandung 90's Run Festival 2026                     | -6.9180875   | 107.633255   | 
Bandung Barat                                      | -6.8652215   | 107.491974   | 
Bandung Bedas Run 2025                             | -6.9963446   | 107.5297     | 
Bandung Biru 14K Charity Long Run 2026             | -6.9364467   | 107.6255     | 
Bandung Neighbor Fun Race Vol 2 2023               | -6.9031234   | 107.621086   | 
Bandung Tower Run 2026                             | -6.9209614   | 107.607414   | 
BANDUNG ULTRA 100 2024                             | -6.793014    | 107.58928    | 
Banggai                                            | -0.956178    | 122.62775    | 
Banggai Kepulauan                                  | -1.307594    | 123.033875   | 
Banggai KORPRI Run 2025                            | -0.9958959   | 122.78915    | 
Banggai Laut                                       | -1.6734525   | 123.55041    | 
Banggai Run Challenge 2025                         | -0.9539268   | 122.78995    | 
Bangil Run Away 5K 2025                            | -7.591575    | 112.78951    | 
Bangka                                             | -1.874294    | 105.92299    | 
Bangka Barat                                       | -1.8405046   | 105.50055    | 
Bangka Selatan                                     | -2.7410512   | 106.44059    | 
Bangka Tengah                                      | -2.4007823   | 106.20515    | 
Bangkit Half Marathon 2025                         | -6.705616    | 111.34873    | 
Bangli                                             | -8.297588    | 115.35487    | 
Bangorun Touchdown at Yogyakarta 2026              | -7.7857738   | 110.37257    | 
Banjar Fun Run 2025                                | -7.07244     | 107.607155   | 
Banjarnegara                                       | -7.379437    | 109.61632    | 
Banjoemas Batik Run 2024                           | -7.512709    | 109.29519    | 
Bank Aceh Bhayangkara Run 2024                     | 5.5697775    | 95.3375      | 
Bank BPD Bali Culture Run 2025                     | -8.843678    | 115.188095   | 
Bank BPD DIY Malioboro Run 2023                    | -7.6501255   | 110.33122    | 
Bank BPD DIY Malioboro Run 2024                    | -7.7920246   | 110.36615    | 
Bank Jateng Borobudur Marathon 2025                | -7.607913    | 110.206825   | 
Bank Jateng Friendship Run Banjarmasin 2023        | -3.1590593   | 114.62584    | 
Bank Jateng Friendship Run Yogyakarta 2023         | -7.80025     | 110.365326   | 
Bank Jatim JConnect Run 2024                       | -7.262761    | 112.7433     | 
Bank Klaten Fun Run 2025                           | -7.676852    | 110.55927    | 
Bank MSA Run 5K 2024                               | -7.64871     | 110.42582    | 
Bank NTB Syariah 10K Samota 2023                   | -8.429722    | 117.42938    | 
Banking Fun Run 2025                               | -7.2779603   | 112.75001    | 
Bantaeng                                           | -5.5169315   | 120.020294   | 
Bantaran Madiun Loop                               | -7.623636    | 111.5149     | 
Banten 10K Color Run 2024                          | -6.187073    | 106.74653    | 
Banten 5K FunRun 2024                              | -6.1424174   | 106.04088    | 
Banten Activity Kahf X RTC Runners                 | -6.163397    | 106.51143    | 
Banten Rush 2024                                   | -6.2014446   | 106.641785   | 
Banter: Fun Sprint Ramadhan 2026                   | -7.8585386   | 110.1607     | 
Bantul                                             | -7.919017    | 110.37854    | 
Bantul Culture Run 2024                            | -7.9098883   | 110.39318    | 
Bantul Fun Run 2025                                | -7.8876057   | 110.32728    | 
Banyuhike KAI Fun Trail 2026                       | -7.3666315   | 109.17311    | 
Banyumas                                           | -7.4832134   | 109.140434   | 
Banyumas Ultra Trail 2026                          | -7.313219    | 109.22886    | 
Banyuwangi                                         | -8.219094    | 114.36914    | 
Baperun 2024                                       | -6.8669324   | 107.46671    | 
BAPLOOP - Baptek, kabupaten Luwu Utara             | -2.6112368   | 120.59746    | 
Barbie Color Fun Run International Bali 2025       | -8.704781    | 115.25049    | 
Barbie Fun Run 2023 Aston Sidoarjo                 | -7.4431357   | 112.69603    | 
Barito Kuala                                       | -3.0714738   | 114.666794   | 
Barito Selatan                                     | -1.875943    | 114.80927    | 
Barokah Fun Run Cirebon 2025                       | -6.7341795   | 108.54241    | 
BAROKAH RUN FEST 2026                              | -7.6366124   | 111.530205   | 
Basel Run 2026                                     | -3.011396    | 106.45111    | 
Basic Otology Endoscopic Course 2024               | -6.200268    | 106.63515    | 
Basra loops                                        | -7.272939    | 112.74226    | 
Bastyasaka Fun Run 2025                            | -7.551452    | 112.230644   | 
Batang                                             | -7.032551    | 109.79861    | 
Batang 10K 2024                                    | -6.883481    | 109.75666    | 
Batang Hari                                        | -1.7083921   | 103.08179    | 
Batang Run 2025                                    | -6.8869224   | 109.77013    | 
Batara Guru Run 2025                               | -2.619116    | 121.116516   | 
Batik Cianjur Run 2023                             | -6.726197    | 107.040085   | 
Batik City Run 2025                                | -7.800289    | 110.36615    | 
Batu Runners Selecta Trail Run 2024                | -7.8180904   | 112.52532    | 
Baturraden Forest Run 2025                         | -7.323385    | 109.22236    | 
Baturraden Trail Run 2024                          | -7.2991486   | 109.21637    | 
Baung Trail Run 2024                               | -7.797707    | 112.750626   | 
Bay.Photographs                                    | -7.554111    | 110.78913    | 
Bayarun 5K Fun Run                                 | -6.2249923   | 106.829575   | 
Bazar and Fun Run Taste & dash 2026                | -8.626543    | 115.18212    | 
BCA Ciputra Run The Ramp 2025                      | -6.2236943   | 106.82345    | 
BCA Citraland Marathon 2024                        | -7.285417    | 112.63154    | 
BCA Citraland Marathon 2025                        | -7.2885666   | 112.6357     | 
BDG100 Ultra 2025                                  | -6.8801      | 107.61981    | 
BE-RARI FUN RUN 2024                               | -8.648473    | 116.531136   | 
Beach Run 2025                                     | -1.8858038   | 106.17431    | 
Beach to Beach Fun Run 2025                        | -8.2611      | 111.77312    | 
Beachaton 2024                                     | -8.68154     | 115.16648    | 
Bedjo Galeria                                      | -7.608278    | 110.811226   | 
Begoniah                                           | -7.9257503   | 110.40292    | 
Bekasi                                             | -6.366723    | 107.17356    | 
Bekasi Marathon 2024                               | -6.1939197   | 106.97317    | 
Bekasi Marathon 2025                               | -6.1914783   | 106.97369    | 
Belitung Timur                                     | -2.8678038   | 108.14287    | 
Belova Premiere Run 2 Wellness 2026                | -7.5482516   | 110.774734   | 
Belu                                               | -9.153898    | 124.90655    | 
Ben Mboi Run 2024                                  | -10.219777   | 123.57793    | 
BENDUNGAN GERAK SERAYU                             | -7.525588    | 109.201355   | 
Bendungan Hilir                                    | -6.2146053   | 106.81793    | 
Bener Meriah                                       | 4.7513604    | 96.95252     | 
Berani Nanjak 2024                                 | -8.639191    | 115.20623    | 
BERLARI DI HUTAN KEBUN RAYA BALIKPAPAN             | -1.05061     | 116.91271    | 
Berlari Photography                                | -7.8019767   | 110.36467    | 
Berova Run                                         | -3.5164406   | 120.88045    | 
Berpacu Berbudaya Run 2024                         | -8.370162    | 115.1312     | 
Bethesda Heritage Run 2025                         | -7.796699    | 110.37315    | 
Bethesda Tennis League seri 1 2025                 | -7.775196    | 110.386444   | 
BFI Run 2022                                       | -6.284932    | 106.63225    | 
BFI Run 2025                                       | -6.3029523   | 106.69683    | 
BGS Beach Run 2025                                 | -7.698663    | 109.05094    | 
Bhakta Run 2024                                    | -7.817317    | 112.00585    | 
Bhayangkara Babel Run 2025                         | -2.151728    | 106.16115    | 
Bhayangkara Beat Run Rembang                       | -6.734074    | 111.35512    | 
Bhayangkara Bekasi Run 2024                        | -6.2438383   | 106.999596   | 
Bhayangkara Fun Run 2024 Polres Mempawah           | 0.361059     | 108.957886   | 
BHAYANGKARA FUN RUN 7,8K by POLRES KULON PROGO     | -7.911993    | 110.07463    | 
BHAYANGKARA FUN WALK                               | -0.9195627   | 100.49017    | 
Bhayangkara Petro Grissee Run 2024                 | -7.158138    | 112.639435   | 
BHAYANGKARA RUN 2025 KOTA MAGELANG                 | -7.472619    | 110.24255    | 
Bhayangkara Run Bangka Barat 2024                  | -2.0802593   | 105.136856   | 
Bhayangkara Tulungagung Runfest 2025               | -8.066165    | 111.902695   | 
Bhayangkarun 7,8k 2024                             | -8.709327    | 116.2798     | 
Bhineka Fun Run 2025                               | -6.2796435   | 107.04599    | 
BHINNEKA RUN 2025                                  | -7.2564144   | 112.73933    | 
Bhumi Phala Run Temanggung 2025                    | -7.2337785   | 110.05437    | 
Bhuwana Run 2024                                   | -6.913039    | 107.69371    | 
Biduk Biduk Run 10K 2025                           | 1.1636593    | 118.75997    | 
Big Bang Fun Run 2025                              | -7.3689184   | 110.32064    | 
Big Bang Running Together 2025                     | -6.867943    | 108.982025   | 
Bima Cepu Run 2025                                 | -7.1423874   | 111.58695    | 
Bina Cita Utama School 5K Green Run 2025           | -1.96845     | 113.74602    | 
Binangun Move Fest 2025                            | -7.886936    | 110.07276    | 
Binloop                                            | -6.27422     | 106.70492    | 
Binloop Ultra 120K 2026                            | -6.272546    | 106.713524   | 
Bintan                                             | 1.0619173    | 104.51892    | 
Bintan Marathon 2025                               | 1.1790454    | 104.37239    | 
Bintang Tenggara Run 2025                          | -8.4293995   | 114.173485   | 
Binturong Livin Run & Fun                          | -8.57296     | 115.36248    | 
Binusian Funrun                                    | -6.223       | 106.64907    | 
Biosfer Run 2024                                   | -7.6730356   | 110.13451    | 
Biosferun 2025                                     | -7.8292933   | 110.125114   | 
Bireuen                                            | 5.1086445    | 96.66381     | 
Biznet East Java Running Fest Chapter Madiun 2025  | -7.6230006   | 111.519554   | 
BJB FUN RUN 24 MEI 2025 BANDUNG                    | -6.920465    | 107.614395   | 
BJB Fun Run Berani Jadi Beda                       | -6.919755    | 107.610634   | 
BKTLOOP                                            | -6.2298126   | 106.91032    | 
Blitar                                             | -8.130866    | 112.22001    | 
Blok Plan Gorontalo Utara                          | 0.7906695    | 122.868645   | 
Blora                                              | -7.012244    | 111.37989    | 
BLU Run 2025                                       | -8.582909    | 115.175285   | 
Blue Gate Run 2026                                 | -7.7261076   | 112.73482    | 
Blusukan Sahurun 2026                              | -7.9406495   | 110.378334   | 
bm_sportpictures                                   | -7.4751525   | 110.218254   | 
BNI Miles Tune Run to The Beat 2024                | -6.2195587   | 106.803314   | 
BNI UI Half Marathon 2023                          | -6.360249    | 106.827286   | 
BNN Ngalam BersinarRun 2025                        | -8.012703    | 112.64422    | 
Boalemo                                            | 0.7013419    | 122.26539    | 
Boalemo Run Fest 2025                              | 0.5293136    | 122.345985   | 
Bodypack Relay 2025                                | -6.915515    | 107.61397    | 
Boedar FunRun 2025 Cilegon                         | -6.0207334   | 106.02232    | 
Bogor                                              | -6.551776    | 106.62913    | 
Bogor City Trail 2025                              | -6.634485    | 106.79492    | 
Bogor Color Run 2023                               | -6.5838103   | 106.882675   | 
Bogor Color Run Festival 2026                      | -6.5701632   | 106.84608    | 
Bogor Healthy Fun Run 2023                         | -6.609469    | 106.79718    | 
Bogor Sport Festival 5K Fun Run 2024               | -6.576989    | 106.79719    | 
Bojonegara Run 2025                                | -5.9547443   | 106.09342    | 
Bojonegoro                                         | -7.317463    | 111.76147    | 
BOJONEGORO THENGUL RUN 2024                        | -7.1954684   | 111.86255    | 
Bolaang Mongondow Selatan                          | 0.4439955    | 124.261765   | 
Bolaang Mongondow Timur                            | 0.7152651    | 124.46419    | 
Bondowoso                                          | -7.9673905   | 113.90606    | 
Bondowoso Night Run 2025                           | -7.9129257   | 113.82257    | 
Bone Bolango                                       | 0.5657885    | 123.34862    | 
Bongomeme Run 5K                                   | 0.6019077    | 122.86734    | 
Bonnet Runversary 37th 2025                        | -7.2791862   | 112.76382    | 
Borneo Extreme Jungle Run 2025                     | -0.38034213  | 117.13701    | 
BORO FUN RUN 5K 2025                               | -8.007388    | 111.915535   | 
Borobudur Edurun 2026                              | -7.5969977   | 110.182236   | 
Borobudur Fun Run 2025                             | -7.600637    | 110.19712    | 
Borobudur Marathon 2024                            | -7.6077747   | 110.20373    | 
Boulevard Manado Utara                             | 1.5248613    | 124.84296    | 
Boulevard SITARO MASADADA                          | 2.7319782    | 125.413734   | 
